Country ,GDP
Germany,3570620.00
United Kingdom*,2526615.20
France,2483616.00
Italy,1781221.10
Spain,1205063.00
Netherlands,860719.00
Switzerland,687110.40
Turkey,685765.40
Poland,570206.60
Sweden,530356.60
Belgium,506950.40
Ireland,421529.20
Norway,407754.80
Austria,403370.40
Denmark,334526.50
Finland,252934.00
Romania,240154.00
Czechia,238714.20
Portugal,211277.50
Greece,182830.20
Hungary,153536.70
Slovakia,97122.50
Luxembourg,73313.50
Bulgaria,67872.10
Croatia,57310.20
Lithuania,55383.10
Serbia,53317.50
Slovenia,52020.20
Latvia,32922.50
Estonia,30660.10
Cyprus,23352.80
Iceland,21531.80
Bosnia and Herzegovina**,17506.70
Malta,14533.80
Albania**,13068.90
North Macedonia,11734.00
Kosovo***,7816.60
Liechtenstein**,5362.90
Montenegro,4911.60
