Date,GRA Purchases,PRGT 1/2/,Totals,Year ,Total_Billions,"GDP, current prices (Billions of U.S. dollars)",World,Debt GDP percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2022,91088136681.00,15386591496.00,106474728177.00,2022,106.47,2022.00,103867.11,0.1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021,89474552025.00,14554823681.00,104029375706.00,2021,104.03,2021.00,96292.57,0.1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,93408630285.00,12481816684.00,105890446969.00,2020,105.89,2020.00,85238.62,0.1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2019,66945509865.00,6590835450.00,73536345315.00,2019,73.54,2019.00,87536.34,0.0840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2018,55395611392.00,6426181029.00,61821792421.00,2018,61.82,2018.00,86084.96,0.0718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2017,39585385873.00,6522280669.00,46107666542.00,2017,46.11,2017.00,80945.41,0.0570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2016,49267630851.00,6482647937.00,55750278788.00,2016,55.75,2016.00,76267.38,0.0731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2015,50757840741.00,6575911158.00,57333751899.00,2015,57.33,2015.00,75042.63,0.0764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014,69041563463.00,6292755583.00,75334319046.00,2014,75.33,2014.00,79321.72,0.0950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013,83899249061.00,6174392682.00,90073641743.00,2013,90.07,2013.00,77290.82,0.1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,90042348252.00,5766292503.00,95808640755.00,2012,95.81,2012.00,75116.96,0.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2011,87276915790.00,5308609594.00,92585525384.00,2011,92.59,2011.00,73747.75,0.1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2010,55620104510.00,4819344134.00,60439448644.00,2010,60.44,2010.00,66435.82,0.0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2009,37221142436.00,5079705286.00,42300847722.00,2009,42.30,2009.00,60731.15,0.0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,17514964723.00,3972372030.00,21487336753.00,2008,21.49,2008.00,64108.44,0.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2007,6036146757.00,3796945581.00,9833092338.00,2007,9.83,2007.00,58443.07,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2006,9822640239.00,3844020520.00,13666660759.00,2006,13.67,2006.00,51762.96,0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2005,28432143237.00,6282121668.00,34714264905.00,2005,34.71,2005.00,47792.25,0.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2004,55373766674.00,6766029353.00,62139796027.00,2004,62.14,2004.00,44116.92,0.1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
