Country,Fragile States Index
Yemen,111.7
Somalia,110.5
Syria,108.4
South Sudan,108.4
Central African Republic,108.1
Congo Democratic Republic,107.3
Sudan,107.1
Afghanistan,105.9
Chad,105.7
Myanmar,100
Haiti,99.7
Guinea,99.6
Ethiopia,99.3
Mali,98.6
Zimbabwe,97.8
Nigeria,97.2
Cameroon,96
Eritrea,95.9
Burundi,95.4
Niger,95.2
Libya,94.3
Mozambique,94.3
Iraq,93.8
Congo Republic,92.2
Uganda,92.1
Venezuela,91.6
Guinea Bissau,91.3
Lebanon,91.3
Burkina Faso,90.5
Pakistan,89.7
Cote d'Ivoire,89.6
North Korea,89.1
Liberia,88.2
Kenya,88.2
Angola,88.1
Mauritania,87.9
Palestine,85.6
Bangladesh,84.5
Equatorial Guinea,84.1
Iran,84.1
Rwanda,83.7
Egypt,83.6
Zambia,83.6
Togo,83.6
Malawi,83
Sierra Leone,82.4
Comoros,82.3
Djibouti,81.3
Nepal,80.6
Cambodia,80.5
Philippines,80.5
Madagascar,80.4
Swaziland,80.4
Solomon Islands,80.4
Papua New Guinea,79.5
Sri Lanka,79.3
Timor-Leste,79.3
Honduras,78.7
Gambia,78.6
Colombia,78.4
Tanzania,78.2
Turkey,78.1
Nicaragua,77.7
Guatemala,77.5
Lesotho,77.4
Kyrgyzstan,77.1
Jordan,76.6
Laos,75.5
India,75.3
Tajikistan,75
Brazil,73.9
Bolivia,73.4
Azerbaijan,73.1
Bosnia and Herzegovina,73
Russia,72.6
Benin,72.5
Algeria,72.2
Senegal,72.1
South Africa,72
Georgia,71.8
Micronesia,71
El Salvador,70.8
Sao Tome and Principe,70.4
Mexico,70.3
Morocco,70.1
Thailand,70
Peru,69.8
Uzbekistan,69.6
Ecuador,69.1
Fiji,68.9
Belarus,68.7
Ukraine,68.6
Tunisia,68.2
Serbia,67.8
Saudi Arabia,67.5
Bhutan,67.4
Armenia,67
China,66.9
Gabon,66.7
Bahrain,66.6
Indonesia,66.6
Turkmenistan,66.5
Paraguay,65.4
Samoa,64.8
Maldives,64.5
Moldova,64.5
Guyana,64.2
Ghana,63
Namibia,62.9
Dominican Republic,62.8
North Macedonia,62.6
Jamaica,62.1
Belize,62.1
Cabo Verde,61.4
Vietnam,60.9
Suriname,60.8
Cuba,60.1
Kazakhstan,59.5
Montenegro,57.9
Cyprus,56.9
Albania,56.7
Malaysia,56.4
Botswana,56.1
Greece,55.8
Brunei Darussalam,55.1
Grenada,54.3
Antigua and Barbuda,54.2
Seychelles,54.2
Trinidad and Tobago,52.4
Kuwait,52.2
Bulgaria,51.6
Mongolia,51.6
Hungary,50.8
Romania,50.8
Bahamas,50.6
Oman,49.5
Croatia,49.3
Argentina,47.9
Panama,47.5
United States,46.6
Barbados,45.9
Spain,44.4
Italy,43.4
Chile,43.2
Latvia,42.8
Israel,42.6
Qatar,42.3
Poland,42.2
Costa Rica,41
United Kingdom,40.6
Czechia,39.9
United Arab Emirates,39.1
Lithuania,38.6
Mauritius,37.9
Estonia,37.7
Slovakia,37.1
Uruguay,35.2
Malta,34.7
South Korea,32.7
Belgium,31.9
Japan,31
France,30.9
Slovenia,27.7
Portugal,27.5
Singapore,25.8
Austria,25.4
Germany,23.6
Australia,22.7
Netherlands,22.1
Sweden,20.9
Ireland,20.8
Canada,20.1
Luxembourg,20
Switzerland,18.9
Denmark,18.1
New Zealand,17.5
Iceland,17.1
Norway,15.6
Finland,15.1
