country,Exports of goods and services (% of GDP)
Africa Eastern and Southern,25.1336778197679
Africa Western and Central,22.3129800040301
Arab World,45.9400633846674
Central Europe and the Baltics,63.2993882833053
Early-demographic dividend,25.8999015587675
East Asia & Pacific,29.1072553122971
East Asia & Pacific (excluding high income),23.3443758611401
East Asia & Pacific (IDA & IBRD countries),23.3409526626923
Euro area,48.0353567297253
Europe & Central Asia,45.0538952024591
Europe & Central Asia (excluding high income),34.1437639589198
Europe & Central Asia (IDA & IBRD countries),37.5059055886761
European Union,49.1066546662065
Fragile and conflict affected situations,25.5287247589473
Heavily indebted poor countries (HIPC),23.5380225289566
High income,32.131144900456
IBRD only,25.2984604237335
IDA & IBRD total,24.8430874183245
IDA blend,15.6693982038251
IDA only,21.4293176729777
IDA total,18.826597371994
Late-demographic dividend,28.8079889279984
Latin America & Caribbean,24.045517290045
Latin America & Caribbean (excluding high income),22.7324764626663
Latin America & the Caribbean (IDA & IBRD countries),23.5024919651432
Least developed countries: UN classification,20.9734289557339
Low & middle income,24.0773517225119
Low income,20.6037575864805
Lower middle income,24.5340808897373
Middle East & North Africa,43.6369709328404
Middle East & North Africa (excluding high income),29.9446135797261
Middle East & North Africa (IDA & IBRD countries),30.1101950912302
Middle income,24.1379565149138
North America,13.9171930948606
OECD members,28.6705756134767
Other small states,61.6290099858286
Pacific island small states,41.8822867943804
Post-demographic dividend,29.7368457535508
Pre-demographic dividend,24.6165955221774
Small states,59.8670076739449
South Asia,18.0618467584641
South Asia (IDA & IBRD),18.0618467584641
Sub-Saharan Africa,23.9161864942883
Sub-Saharan Africa (excluding high income),23.8502732290708
Sub-Saharan Africa (IDA & IBRD countries),23.9161864942883
Upper middle income,24.0189611982533
World,29.1658788547473
Albania,31.5719272134517
Algeria,25.8611508241538
American Samoa,68.2316118935837
Angola,40.8362898299819
Antigua and Barbuda,64.5248555713149
Argentina,14.4366857499034
Armenia,39.3928940286073
Aruba,73.7962316817865
Australia,21.8734041196439
Austria,55.4622191178234
Azerbaijan,54.0922938620586
"Bahamas, The",35.8558459681086
Bahrain,79.2525219237919
Bangladesh,12.6747879443391
Barbados,35.5248066264005
Belarus,70.4550452625374
Belgium,83.0796294670067
Belize,51.0799136069114
Benin,27.2742306189085
Bermuda,51.4791563825902
Bhutan,30.8177060148869
Bolivia,25.9887950657509
Bosnia and Herzegovina,42.6093498916213
Botswana,44.2281439237392
Brazil,14.6349994952986
Brunei Darussalam,51.93227637834
Bulgaria,65.6958529144087
Burkina Faso,28.0789061419219
Burundi,5.6856543143069
Cabo Verde,48.9526443748728
Cambodia,61.5957275117758
Cameroon,18.7362534690181
Canada,32.2801824238976
Cayman Islands,71.587849798792
Central African Republic,15.9400300007701
Chad,36.1906824485852
Chile,28.5290447397614
China,19.1121035363869
Colombia,15.8997196775431
Comoros,12.909022989086
"Congo, Dem. Rep.",32.5535282648245
"Congo, Rep.",71.0295689513304
Costa Rica,33.7385107761536
Cote d'Ivoire,22.6406826881759
Croatia,49.3929449603522
Cuba,14.5227386306847
Cyprus,74.9673023347764
Czechia,76.9435759590934
Denmark,56.5598044910739
Djibouti,156.619875027706
Dominica,29.1932598071942
Dominican Republic,23.5514313052003
Ecuador,22.6046839884209
