country,Number of arrivals
Africa Eastern and Southern,39826701.4025488
Africa Western and Central,
Arab World,142447574.174804
Caribbean small states,19819087.2645395
Central Europe and the Baltics,314638365.070248
Early-demographic dividend,369336988.869679
East Asia & Pacific,490804002.09165
East Asia & Pacific (excluding high income),292842169.375777
East Asia & Pacific (IDA & IBRD countries),289300101.805405
Euro area,655573447.522239
Europe & Central Asia,1199188498.74821
Europe & Central Asia (excluding high income),180880471.54687
Europe & Central Asia (IDA & IBRD countries),331546366.211299
European Union,968873375.260994
Fragile and conflict affected situations,
Heavily indebted poor countries (HIPC),29134874.0028677
High income,1522430052.79407
IBRD only,852166955.667661
IDA & IBRD total,974462802.208958
IDA blend,
IDA only,63144062.5081978
IDA total,100914423.764227
Late-demographic dividend,549832276.924528
Latin America & Caribbean,201856013.686497
Latin America & Caribbean (excluding high income),165233236.99443
Latin America & the Caribbean (IDA & IBRD countries),172908916.919959
Least developed countries: UN classification,40176417.3590637
Low & middle income,814041186.104538
Low income,17409971.529363
Lower middle income,207722217.280817
Middle East & North Africa,152571279.95283
Middle East & North Africa (excluding high income),65756226.1253439
Middle East & North Africa (IDA & IBRD countries),65078454.6035971
Middle income,790163362.933784
North America,198713000.0
Not classified,
OECD members,1364524985.83971
Other small states,51930012.4665974
Pacific island small states,1752269.77187474
Post-demographic dividend,1275198369.71218
Pre-demographic dividend,
Small states,79086475.9232005
South Asia,27102764.1528023
South Asia (IDA & IBRD),26260132.181425
Sub-Saharan Africa,56014499.1539477
Sub-Saharan Africa (excluding high income),55555231.2954125
Sub-Saharan Africa (IDA & IBRD countries),56014499.1539477
Upper middle income,573310641.28494
World,2403074088.46029
Afghanistan,
Albania,6406000.0
Algeria,2371000.0
American Samoa,19200.0007629395
Andorra,8235000.0
Angola,218000.0
Antigua and Barbuda,1035000.0
Argentina,7399000.0
Armenia,1894000.0
Aruba,1951000.0
Australia,9466000.0
Austria,31884000.0
Azerbaijan,3170000.0
"Bahamas, The",7250000.0
Bahrain,11061000.0
Bangladesh,323000.0
Barbados,966000.0
Belarus,11832000.0
Belgium,9343000.0
Belize,1674000.0
Benin,337000.0
Bermuda,805000.0
Bhutan,316000.0
Bolivia,1239000.0
Bosnia and Herzegovina,1198000.0
Botswana,
Brazil,6353000.0
British Virgin Islands,302399.993896484
Brunei Darussalam,4449000.0
Bulgaria,12552000.0
Burkina Faso,143000.0
Burundi,
Cabo Verde,758000.0
Cambodia,6611000.0
Cameroon,1021000.0
Canada,32430000.0
Cayman Islands,2334000.0
Central African Republic,87000.0
Chad,81000.0
Channel Islands,
Chile,5431000.0
China,162538000.0
Colombia,4531000.0
Comoros,45099.9984741211
"Congo, Dem. Rep.",
"Congo, Rep.",
Costa Rica,3366000.0
Cote d'Ivoire,2070000.0
Croatia,60021000.0
Cuba,4276000.0
Curacao,1293000.0
Cyprus,4117000.0
Czechia,37202000.0
Denmark,33093000.0
Djibouti,
Dominica,322000.0
Dominican Republic,7550000.0
Ecuador,2108000.0
"Egypt, Arab Rep.",13026000.0
El Salvador,2639000.0
Equatorial Guinea,
Eritrea,
Estonia,6103000.0
Eswatini,1226000.0
Ethiopia,812000.0
Faroe Islands,
Fiji,969000.0
Finland,3290000.0
France,217877000.0
French Polynesia,300000.0
Gabon,
"Gambia, The",620000.0
Georgia,7726000.0
Germany,39563000.0
Ghana,
Gibraltar,
Greece,34005000.0
Greenland,
Grenada,526000.0
Guam,1667000.0
Guatemala,2560000.0
Guinea,
Guinea-Bissau,52400.0015258789
Guyana,315000.0
Haiti,938000.0
Honduras,2315000.0
"Hong Kong SAR, China",55913000.0
Hungary,61397000.0
Iceland,2202000.0
India,17914000.0
Indonesia,16107000.0
"Iran, Islamic Rep.",9107000.0
Iraq,
Ireland,10951000.0
Isle of Man,
Israel,4905000.0
Italy,95399000.0
Jamaica,4233000.0
Japan,31881000.0
Jordan,5361000.0
Kazakhstan,8515000.0
Kenya,2049000.0
Kiribati,12000.0
"Korea, Dem. People's Rep.",
"Korea, Rep.",17503000.0
Kosovo,
Kuwait,8565000.0
Kyrgyz Republic,8508000.0
Lao PDR,4791000.0
Latvia,8342000.0
Lebanon,1936000.0
Lesotho,1142000.0
Liberia,
Libya,
Liechtenstein,98099.9984741211
Lithuania,6150000.0
Luxembourg,1041000.0
"Macao SAR, China",39406000.0
Madagascar,486000.0
Malawi,
Malaysia,26101000.0
Maldives,1703000.0
Mali,217000.0
Malta,3519000.0
Marshall Islands,6099.99990463257
Mauritania,
Mauritius,1418000.0
Mexico,97406000.0
"Micronesia, Fed. Sts.",18000.0
Moldova,174000.0
Monaco,363000.0
Mongolia,637000.0
Montenegro,2510000.0
Morocco,13109000.0
Mozambique,2033000.0
Myanmar,4364000.0
Namibia,1651000.0
Nauru,
Nepal,1197000.0
Netherlands,20129000.0
New Caledonia,130000.0
New Zealand,3888000.0
Nicaragua,1455000.0
Niger,192000.0
Nigeria,
North Macedonia,758000.0
Northern Mariana Islands,487000.0
Norway,5879000.0
Oman,3506000.0
Pakistan,
Palau,94000.0
Panama,2494000.0
Papua New Guinea,211000.0
Paraguay,4368000.0
Peru,5275000.0
Philippines,8261000.0
Poland,88515000.0
Portugal,17283000.0
Puerto Rico,4931000.0
Qatar,2136500.0
Romania,12815000.0
Russian Federation,24419000.0
Rwanda,1634000.0
Samoa,181000.0
San Marino,1904000.0
Sao Tome and Principe,
Saudi Arabia,20292000.0
Senegal,
Serbia,1847000.0
Seychelles,428000.0
Sierra Leone,71000.0
Singapore,19116000.0
Sint Maarten (Dutch part),1952000.0
Slovak Republic,
Slovenia,4702000.0
Solomon Islands,28899.9996185303
Somalia,
South Africa,14797000.0
South Sudan,
Spain,126170000.0
Sri Lanka,2027000.0
St. Kitts and Nevis,1107000.0
St. Lucia,1220000.0
St. Martin (French part),
St. Vincent and the Grenadines,392000.0
Sudan,
Suriname,
Sweden,7616000.0
Switzerland,11818000.0
Syrian Arab Republic,2424000.0
Tajikistan,
Tanzania,1527000.0
Thailand,39916000.0
Timor-Leste,74800.0030517578
Togo,876000.0
Tonga,94000.0
Trinidad and Tobago,480000.0
Tunisia,9429000.0
Turkiye,51747000.0
Turkmenistan,
Turks and Caicos Islands,1599000.0
Tuvalu,3599.99990463257
Uganda,1543000.0
Ukraine,13710000.0
United Arab Emirates,25282000.0
United Kingdom,40857000.0
United States,165478000.0
Uruguay,3480000.0
Uzbekistan,6749000.0
Vanuatu,256000.0
"Venezuela, RB",
Vietnam,18009000.0
Virgin Islands (U.S.),2074000.0
West Bank and Gaza,688000.0
"Yemen, Rep.",
Zambia,1266000.0
Zimbabwe,2294000.0
