country,Tourism receipts /% of M
Africa Eastern and Southern,5.05291913058471
Africa Western and Central,7.04654748458557
Arab World,10.6096596010842
Caribbean small states,5.77699008637798
Central Europe and the Baltics,3.66564520986761
Early-demographic dividend,5.64359089971352
Euro area,5.42393937437391
Europe & Central Asia,5.63643486024757
Europe & Central Asia (excluding high income),7.47909701878365
Europe & Central Asia (IDA & IBRD countries),6.31312830246565
European Union,5.23700849523852
Fragile and conflict affected situations,9.48045694010699
Heavily indebted poor countries (HIPC),5.01752640449942
High income,5.74257420469778
IBRD only,5.9347043015195
IDA & IBRD total,5.89580174835584
IDA blend,8.05899750712124
IDA only,4.36482063466978
IDA total,5.55604038350588
Latin America & Caribbean,6.20291715822976
Latin America & Caribbean (excluding high income),6.18273710072927
Latin America & the Caribbean (IDA & IBRD countries),6.13708018895752
Least developed countries: UN classification,3.81742658126863
Low income,3.15794285742891
Lower middle income,5.67694124548258
Middle East & North Africa,10.5515014074237
Middle East & North Africa (excluding high income),7.44310735336063
Middle East & North Africa (IDA & IBRD countries),7.43216952991686
North America,5.43723870097835
OECD members,5.39775877556448
Other small states,14.0464343091698
Pacific island small states,6.62025946976679
Post-demographic dividend,5.61692196767409
Pre-demographic dividend,7.66052879120162
Small states,12.5822801454062
South Asia,4.27259323498155
South Asia (IDA & IBRD),4.27259323498155
Sub-Saharan Africa,5.7560199519657
Sub-Saharan Africa (excluding high income),5.75635674171212
Sub-Saharan Africa (IDA & IBRD countries),5.7560199519657
World,5.83578845362807
Afghanistan,1.21460632498981
Albania,24.5892114234727
Algeria,0.923644158656214
Angola,3.20769786123003
Antigua and Barbuda,10.9356956409107
Argentina,16.2728419653326
Armenia,23.107765592608
Aruba,15.8648278820643
Australia,13.6699691597986
Austria,6.0474842171807
Azerbaijan,15.6894958613433
"Bahamas, The",9.84966144163229
Bahrain,15.4921996191245
Bangladesh,1.7501253552406
Barbados,4.42315437058263
Belarus,2.97074268567142
Belgium,4.43837145394551
Belize,4.85946954503044
Benin,2.34140811248451
Bermuda,19.3869296551245
Bhutan,4.20267085502313
Bolivia,8.89819816355349
Bosnia and Herzegovina,3.23639334317368
Botswana,3.42833589750069
Brazil,8.38406048505431
Brunei Darussalam,11.5967151814284
Bulgaria,5.12297648691574
Burkina Faso,4.32598852046668
Cabo Verde,7.89620069524184
Cambodia,4.60425356186633
Cameroon,11.5593754655358
Cayman Islands,9.6201197141031
Chile,3.90999796387354
Colombia,8.69975634076867
Comoros,14.1792524561738
"Congo, Dem. Rep.",0.421402454813347
"Congo, Rep.",6.26798792148121
Costa Rica,5.87625523339127
Cote d'Ivoire,4.58036778178687
Croatia,3.97451859908003
Curacao,18.5275560274049
Cyprus,10.818848036826
Czechia,3.53621788344253
Denmark,6.26793133552139
Dominica,10.0175141744852
Dominican Republic,4.24687743762098
Ecuador,7.45106400928808
"Egypt, Arab Rep.",6.37029402032755
El Salvador,4.208154767125
Estonia,7.3530899428679
Eswatini,1.99986633928334
Ethiopia,2.30536939482055
Fiji,4.76747303595571
Finland,7.13858455463955
France,6.17789897066243
French Polynesia,12.0740405782992
"Gambia, The",1.93226082862321
Georgia,8.31716679921349
Germany,6.51428639781658
Ghana,7.64980670523068
Greece,5.50154873451999
Grenada,7.55479815551053
Guatemala,5.65743290235651
Guinea,0.317231610353247
Haiti,11.4248779435085
Honduras,4.86515425879634
"Hong Kong SAR, China",4.07283270577509
Hungary,2.73846393787341
India,4.06429747250986
Indonesia,6.22465661949089
Iraq,17.3338628469153
Ireland,1.97156994586321
Israel,9.08557706140788
Italy,6.25964010524346
Jamaica,6.61579238411342
Japan,3.36774222104776
Jordan,6.26198433487748
Kazakhstan,7.08828829603812
"Korea, Rep.",5.87397576770757
Kuwait,25.0083202056756
Kyrgyz Republic,12.2438272467437
Lao PDR,14.2631725802685
Lebanon,16.9477990345439
Lesotho,13.0958365166376
Libya,7.03896103896104
Luxembourg,2.26014432083649
"Macao SAR, China",9.36359433418886
Madagascar,8.41317457908899
Malawi,4.15756051978814
Malaysia,6.26013713413461
Maldives,10.8497584311844
Mali,3.76619879923952
Marshall Islands,15.8919047740387
Mauritania,2.95356281743294
Mauritius,10.5735663151255
Mexico,3.04999133312555
Moldova,7.45302807158477
Mongolia,9.56228126487515
Montenegro,3.29333170932338
Morocco,5.12256917182939
Mozambique,3.69513409686847
Myanmar,1.31172391071001
Namibia,1.3019365111524
Nauru,10.2891514455305
Nepal,6.33045342291167
Netherlands,3.71584986248453
New Caledonia,7.46403951813906
New Zealand,8.33710079416693
Nicaragua,4.25024336070856
Niger,4.35226545013939
Nigeria,9.62588835556488
North Macedonia,2.88514772868894
Norway,13.1773801536831
Oman,8.4685248353266
Pakistan,5.64673418306119
Palau,11.1050967902819
Panama,5.30336359020266
Papua New Guinea,4.02745524495573
Paraguay,4.77645490105453
Peru,6.19792195495508
Philippines,11.4023608204034
Poland,3.73839577173335
Portugal,5.86770359810232
Qatar,20.7198788141095
Romania,3.61281379801197
Russian Federation,10.39246805746
Rwanda,11.9100392163906
Samoa,0.52492338528358
Saudi Arabia,8.91978212044119
Senegal,4.48241483693911
Serbia,6.23075355968002
Seychelles,5.68110605934886
Sierra Leone,2.56508898738785
Singapore,5.42311880658807
