CDID,Private Sector,Public Sector Regular
2000 Jan,289,310
2000 Feb,289,311
2000 Mar,288,309
2000 Apr,289,307
2000 May,291,308
2000 Jun,291,310
2000 Jul,292,310
2000 Aug,293,312
2000 Sep,296,312
2000 Oct,297,314
2000 Nov,298,315
2000 Dec,299,316
2001 Jan,300,319
2001 Feb,300,321
2001 Mar,302,322
2001 Apr,304,326
2001 May,304,327
2001 Jun,305,328
2001 Jul,307,330
2001 Aug,309,332
2001 Sep,309,332
2001 Oct,310,332
2001 Nov,312,332
2001 Dec,312,333
2002 Jan,313,335
2002 Feb,316,335
2002 Mar,317,337
2002 Apr,317,337
2002 May,317,339
2002 Jun,319,340
2002 Jul,319,342
2002 Aug,319,340
2002 Sep,319,342
2002 Oct,320,344
2002 Nov,320,346
2002 Dec,319,348
2003 Jan,323,349
2003 Feb,324,350
2003 Mar,324,351
2003 Apr,325,352
2003 May,326,353
2003 Jun,327,356
2003 Jul,327,359
2003 Aug,327,362
2003 Sep,329,361
2003 Oct,330,361
2003 Nov,331,363
2003 Dec,333,364
2004 Jan,333,364
2004 Feb,333,366
2004 Mar,334,366
2004 Apr,336,369
2004 May,337,370
2004 Jun,338,371
2004 Jul,339,373
2004 Aug,340,375
2004 Sep,340,376
2004 Oct,342,378
2004 Nov,343,379
2004 Dec,346,379
2005 Jan,346,382
2005 Feb,347,382
2005 Mar,348,386
2005 Apr,349,389
2005 May,349,391
2005 Jun,351,391
2005 Jul,353,392
2005 Aug,354,393
2005 Sep,355,396
2005 Oct,356,397
2005 Nov,357,398
2005 Dec,358,400
2006 Jan,360,400
2006 Feb,361,403
2006 Mar,362,400
2006 Apr,363,401
2006 May,365,401
2006 Jun,366,404
2006 Jul,366,406
2006 Aug,367,405
2006 Sep,369,406
2006 Oct,371,409
2006 Nov,372,409
2006 Dec,374,412
2007 Jan,373,414
2007 Feb,376,414
2007 Mar,377,415
2007 Apr,378,414
2007 May,381,416
2007 Jun,383,417
2007 Jul,385,417
2007 Aug,386,419
2007 Sep,387,420
2007 Oct,387,421
2007 Nov,389,422
2007 Dec,389,426
2008 Jan,390,426
2008 Feb,392,428
2008 Mar,394,431
2008 Apr,396,432
2008 May,395,431
2008 Jun,397,429
2008 Jul,397,433
2008 Aug,398,435
2008 Sep,399,435
2008 Oct,401,436
2008 Nov,401,438
2008 Dec,401,438
2009 Jan,401,439
2009 Feb,402,442
2009 Mar,402,439
2009 Apr,402,444
2009 May,403,446
2009 Jun,402,448
2009 Jul,400,450
2009 Aug,400,452
2009 Sep,401,452
2009 Oct,401,453
2009 Nov,401,455
2009 Dec,403,455
2010 Jan,405,457
2010 Feb,404,459
2010 Mar,407,457
2010 Apr,405,459
2010 May,404,461
2010 Jun ,405,459
2010 Jul,407,462
2010 Aug,409,462
2010 Sep,409,465
2010 Oct,409,466
2010 Nov,409,467
2010 Dec,409,468
2011 Jan,413,470
2011 Feb,412,471
2011 Mar,412,471
2011 Apr,412,472
2011 May,413,471
2011 Jun,413,472
2011 Jul,414,471
2011 Aug,414,472
2011 Sep,416,474
2011 Oct,417,475
2011 Nov,418,475
2011 Dec,418,475
2012 Jan,418,474
2012 Feb,420,476
2012 Mar,421,478
2012 Apr,420,478
2012 May,421,478
2012 Jun,422,482
2012 Jul,422,484
2012 Aug,423,487
2012 Sep,422,485
2012 Oct,422,484
2012 Nov,424,484
2012 Dec,423,484
2013 Jan,422,483
2013 Feb,423,482
2013 Mar,424,483
2013 Apr,426,485
2013 May,426,485
2013 Jun,426,485
2013 Jul,427,485
2013 Aug,427,484
2013 Sep,426,485
2013 Oct,428,487
2013 Nov,427,486
2013 Dec,429,488
2014 Jan,431,487
2014 Feb,428,487
2014 Mar,427,490
2014 Apr,429,487
2014 May,430,487
2014 Jun,430,488
2014 Jul,431,489
2014 Aug,432,489
2014 Sep,435,489
2014 Oct,437,489
2014 Nov,436,490
2014 Dec,437,491
2015 Jan,439,491
2015 Feb,440,493
2015 Mar,442,492
2015 Apr,442,493
2015 May,443,494
2015 Jun,444,494
2015 Jul,445,494
2015 Aug,445,495
2015 Sep,444,497
2015 Oct,445,496
2015 Nov,446,497
2015 Dec,448,497
2016 Jan,450,499
2016 Feb,452,499
2016 Mar,452,500
2016 Apr,454,503
2016 May,453,500
2016 Jun,455,503
2016 Jul,456,502
2016 Aug,456,503
2016 Sep,457,503
2016 Oct,458,503
2016 Nov,459,504
2016 Dec,459,504
2017 Jan,459,505
2017 Feb,460,506
2017 Mar,461,507
2017 Apr,463,507
2017 May,465,511
2017 Jun,465,509
2017 Jul,466,510
2017 Aug,467,512
2017 Sep,469,511
2017 Oct,469,515
2017 Nov,470,513
2017 Dec,472,515
2018 Jan,472,517
2018 Feb,474,519
2018 Mar,476,519
2018 Apr,476,519
2018 May,478,521
2018 Jun,479,522
2018 Jul,481,525
2018 Aug,483,525
2018 Sep,484,526
2018 Oct,486,528
2018 Nov,486,529
2018 Dec,488,530
2019 Jan,490,531
2019 Feb,491,530
2019 Mar,492,531
2019 Apr,494,542
2019 May,496,540
2019 Jun,499,541
2019 Jul,500,541
2019 Aug,501,542
2019 Sep,501,544
2019 Oct,501,546
2019 Nov,502,547
2019 Dec,503,547
2020 Jan,504,547
2020 Feb,504,548
2020 Mar,502,550
2020 Apr,490,559
2020 May,490,566
2020 Jun,492,565
2020 Jul,501,562
2020 Aug,508,564
2020 Sep,514,568
2020 Oct,518,567
2020 Nov,522,570
2020 Dec,524,571
2021 Jan,523,577
2021 Feb,525,579
2021 Mar,527,578
2021 Apr,531,579
2021 May,532,579
2021 Jun,533,579
2021 Jul ,534,579
2021 Aug,536,580
2021 Sep,537,582
2021 Oct,539,583
2021 Nov,541,585
2021 Dec,545,586
2022 Jan,549,588
2022 Feb,550,589
2022 Mar,553,589
2022 Apr,556,589
2022 May,562,590
2022 Jun,564,590
2022 Jul,568,591
2022 Aug,571,594
2022 Sep ,575,593
2022 Oct,577,605
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
