CDID,Private Sector,Public Sector
2000 Jan,305,313
2000 Feb,297,315
2000 Mar,306,313
2000 Apr,309,310
2000 May,312,311
2000 Jun,310,313
2000 Jul,313,313
2000 Aug,315,313
2000 Sep,317,315
2000 Oct,318,316
2000 Nov,320,319
2000 Dec,326,319
2001 Jan,324,322
2001 Feb,326,324
2001 Mar,321,325
2001 Apr,327,328
2001 May,326,329
2001 Jun,328,330
2001 Jul,328,332
2001 Aug,330,333
2001 Sep,330,334
2001 Oct,332,335
2001 Nov,333,335
2001 Dec,335,336
2002 Jan,335,337
2002 Feb,334,338
2002 Mar,330,340
2002 Apr,337,340
2002 May,338,342
2002 Jun,340,342
2002 Jul,340,345
2002 Aug,341,341
2002 Sep,341,345
2002 Oct,340,347
2002 Nov,341,349
2002 Dec,341,353
2003 Jan,341,351
2003 Feb,340,353
2003 Mar,344,354
2003 Apr,346,355
2003 May,347,355
2003 Jun,347,359
2003 Jul,348,361
2003 Aug,349,362
2003 Sep,351,364
2003 Oct,353,364
2003 Nov,353,366
2003 Dec,354,369
2004 Jan,356,367
2004 Feb,350,369
2004 Mar,357,370
2004 Apr,360,372
2004 May,362,372
2004 Jun,362,374
2004 Jul,364,375
2004 Aug,365,375
2004 Sep,367,379
2004 Oct,370,381
2004 Nov,370,382
2004 Dec,371,385
2005 Jan,372,385
2005 Feb,370,385
2005 Mar,372,390
2005 Apr,374,391
2005 May,375,393
2005 Jun,377,394
2005 Jul,380,396
2005 Aug,383,398
2005 Sep,384,399
2005 Oct,385,401
2005 Nov,387,402
2005 Dec,387,402
2006 Jan,384,403
2006 Feb,391,406
2006 Mar,394,403
2006 Apr,394,406
2006 May,395,407
2006 Jun,399,408
2006 Jul,398,410
2006 Aug,399,410
2006 Sep,400,410
2006 Oct,403,412
2006 Nov,405,413
2006 Dec,412,415
2007 Jan,412,418
2007 Feb,423,417
2007 Mar,411,418
2007 Apr,412,419
2007 May,414,422
2007 Jun,417,422
2007 Jul,420,421
2007 Aug,421,423
2007 Sep,424,424
2007 Oct,422,425
2007 Nov,426,427
2007 Dec,425,429
2008 Jan,428,430
2008 Feb,440,432
2008 Mar,433,433
2008 Apr,432,437
2008 May,433,435
2008 Jun,433,434
2008 Jul,433,439
2008 Aug,433,439
2008 Sep,434,440
2008 Oct,436,441
2008 Nov,435,442
2008 Dec,435,442
2009 Jan,433,443
2009 Feb,417,446
2009 Mar,406,442
2009 Apr,435,450
2009 May,433,447
2009 Jun,433,451
2009 Jul,431,453
2009 Aug,432,455
2009 Sep,432,457
2009 Oct,432,457
2009 Nov,432,459
2009 Dec,434,457
2010 Jan,433,461
2010 Feb,442,463
2010 Mar,435,467
2010 Apr,434,465
2010 May,437,467
2010 Jun ,433,466
2010 Jul,437,466
2010 Aug,439,467
2010 Sep,440,469
2010 Oct,440,471
2010 Nov,441,472
2010 Dec,438,474
2011 Jan,453,478
2011 Feb,447,476
2011 Mar,446,479
2011 Apr,443,478
2011 May,446,477
2011 Jun,447,482
2011 Jul,448,482
2011 Aug,447,478
2011 Sep,448,479
2011 Oct,449,480
2011 Nov,450,480
2011 Dec,449,480
2012 Jan,451,481
2012 Feb,450,482
2012 Mar,450,484
2012 Apr,453,484
2012 May,453,485
2012 Jun,455,486
2012 Jul,456,487
2012 Aug,456,495
2012 Sep,455,490
2012 Oct,454,489
2012 Nov,456,489
2012 Dec,453,490
2013 Jan,455,490
2013 Feb,456,487
2013 Mar,447,490
2013 Apr,472,491
2013 May,462,492
2013 Jun,460,486
2013 Jul,460,488
2013 Aug,461,488
2013 Sep,460,487
2013 Oct,460,489
2013 Nov,460,489
2013 Dec,462,489
2014 Jan,464,490
2014 Feb,467,490
