Year,Private Sector Total Weekly Earnings ,Public Sector Total Weekly Earnings ,Private Sector Regular Weekly Earnings,Public Sector Total Weekly Earnings ,,,
01/01/2000,305,313,289,310,,,
01/02/2000,297,315,289,311,,,
01/03/2000,306,313,288,309,,,
01/04/2000,309,310,289,307,,,
01/05/2000,312,311,291,308,,,
01/06/2000,310,313,291,310,,,
01/07/2000,313,313,292,310,,,
01/08/2000,315,313,293,312,,,
01/09/2000,317,315,296,312,,,
01/10/2000,318,316,297,314,,,
01/11/2000,320,319,298,315,,,
01/12/2000,326,319,299,316,,,
01/01/2001,324,322,300,319,,,
01/02/2001,326,324,300,321,,,
01/03/2001,321,325,302,322,,,
01/04/2001,327,328,304,326,,,
01/05/2001,326,329,304,327,,,
01/06/2001,328,330,305,328,,,
01/07/2001,328,332,307,330,,,
01/08/2001,330,333,309,332,,,
01/09/2001,330,334,309,332,,,
01/10/2001,332,335,310,332,,,
01/11/2001,333,335,312,332,,,
01/12/2001,335,336,312,333,,,
01/01/2002,335,337,313,335,,,
01/02/2002,334,338,316,335,,,
01/03/2002,330,340,317,337,,,
01/04/2002,337,340,317,337,,,
01/05/2002,338,342,317,339,,,
01/06/2002,340,342,319,340,,,
01/07/2002,340,345,319,342,,,
01/08/2002,341,341,319,340,,,
01/09/2002,341,345,319,342,,,
01/10/2002,340,347,320,344,,,
01/11/2002,341,349,320,346,,,
01/12/2002,341,353,319,348,,,
01/01/2003,341,351,323,349,,,
01/02/2003,340,353,324,350,,,
01/03/2003,344,354,324,351,,,
01/04/2003,346,355,325,352,,,
01/05/2003,347,355,326,353,,,
01/06/2003,347,359,327,356,,,
01/07/2003,348,361,327,359,,,
01/08/2003,349,362,327,362,,,
01/09/2003,351,364,329,361,,,
01/10/2003,353,364,330,361,,,
01/11/2003,353,366,331,363,,,
01/12/2003,354,369,333,364,,,
01/01/2004,356,367,333,364,,,
01/02/2004,350,369,333,366,,,
01/03/2004,357,370,334,366,,,
01/04/2004,360,372,336,369,,,
01/05/2004,362,372,337,370,,,
01/06/2004,362,374,338,371,,,
01/07/2004,364,375,339,373,,,
01/08/2004,365,375,340,375,,,
01/09/2004,367,379,340,376,,,
01/10/2004,370,381,342,378,,,
01/11/2004,370,382,343,379,,,
01/12/2004,371,385,346,379,,,
01/01/2005,372,385,346,382,,,
01/02/2005,370,385,347,382,,,
01/03/2005,372,390,348,386,,,
01/04/2005,374,391,349,389,,,
01/05/2005,375,393,349,391,,,
01/06/2005,377,394,351,391,,,
01/07/2005,380,396,353,392,,,
01/08/2005,383,398,354,393,,,
01/09/2005,384,399,355,396,,,
01/10/2005,385,401,356,397,,,
01/11/2005,387,402,357,398,,,
01/12/2005,387,402,358,400,,,
01/01/2006,384,403,360,400,,,
01/02/2006,391,406,361,403,,,
01/03/2006,394,403,362,400,,,
01/04/2006,394,406,363,401,,,
01/05/2006,395,407,365,401,,,
01/06/2006,399,408,366,404,,,
01/07/2006,398,410,366,406,,,
01/08/2006,399,410,367,405,,,
01/09/2006,400,410,369,406,,,
01/10/2006,403,412,371,409,,,
01/11/2006,405,413,372,409,,,
01/12/2006,412,415,374,412,,,
01/01/2007,412,418,373,414,,,
01/02/2007,423,417,376,414,,,
01/03/2007,411,418,377,415,,,
01/04/2007,412,419,378,414,,,
01/05/2007,414,422,381,416,,,
01/06/2007,417,422,383,417,,,
01/07/2007,420,421,385,417,,,
01/08/2007,421,423,386,419,,,
01/09/2007,424,424,387,420,,,
01/10/2007,422,425,387,421,,,
01/11/2007,426,427,389,422,,,
01/12/2007,425,429,389,426,,,
01/01/2008,428,430,390,426,,,
01/02/2008,440,432,392,428,,,
01/03/2008,433,433,394,431,,,
01/04/2008,432,437,396,432,,,
