quote_date,item_id,date,dateISO,priceMean,price75Q,price25Q,priceMedian
201501,510245,324,2015-01-01,36.33392,40,16,25
201502,510245,325,2015-02-01,39.290226,45,16,28
201503,510245,326,2015-03-01,41.678295,40,16,25
201504,510245,327,2015-04-01,42.15234,45,18,25
201505,510245,328,2015-05-01,40.614437,45,17.99,25
201506,510245,329,2015-06-01,40.914013,45,18,25
201507,510245,330,2015-07-01,38.246822,45,16,25
201508,510245,331,2015-08-01,39.030434,45,16,25
201509,510245,332,2015-09-01,43.596497,46,16,25
201510,510245,333,2015-10-01,43.176884,45,16,26
201511,510245,334,2015-11-01,44.150322,45,17.5,28
201512,510245,335,2015-12-01,40.676067,46.73,17.5,28
201601,510245,336,2016-01-01,36.412361,40,17.5,25
201602,510245,337,2016-02-01,43.176685,45,17.5,25
201603,510245,338,2016-03-01,43.311691,45,17.5,26
201604,510245,339,2016-04-01,43.551228,45,16,26
201605,510245,340,2016-05-01,46.507111,48,18.200001,30
201606,510245,341,2016-06-01,42.195015,45,18,28
201607,510245,342,2016-07-01,38.905807,45,18,25.6
201608,510245,343,2016-08-01,42.575016,48,18,29.99
201609,510245,344,2016-09-01,46.143425,48,19.99,35
201610,510245,345,2016-10-01,45.19318,48,18,30
201611,510245,346,2016-11-01,48.108322,49,20,35
201612,510245,347,2016-12-01,42.811356,45,18,31.5
201701,510245,348,2017-01-01,39.269196,45,16,29.494999
201702,510245,349,2017-02-01,43.115345,46,16,32.25
201703,510245,350,2017-03-01,46.543266,49,19.99,35
201704,510245,351,2017-04-01,44.83556,45,18,32
201705,510245,352,2017-05-01,46.12904,49,19.99,35
201706,510245,353,2017-06-01,43.285885,49,18,34.990002
201707,510245,354,2017-07-01,39.174587,45,17,29
201708,510245,355,2017-08-01,43.431557,46,18,33.049999
201709,510245,356,2017-09-01,45.801769,49,16,34.990002
201710,510245,357,2017-10-01,44.758648,47,16,34.995003
201711,510245,358,2017-11-01,46.148598,49.25,18,35
201712,510245,359,2017-12-01,41.562561,45,16,35
201801,510245,360,2018-01-01,37.544655,41.5,15,26
201802,510245,361,2018-02-01,43.883564,49,16,32
201803,510245,362,2018-03-01,43.504082,45.5,17.5,29
201804,510245,363,2018-04-01,45.127094,49,18,30
201805,510245,364,2018-05-01,43.109562,49,17.494999,29.99
201806,510245,365,2018-06-01,41.49493,45,16,29
201807,510245,366,2018-07-01,37.271538,42,16,25
201808,510245,367,2018-08-01,41.063473,42,16.200001,29.99
201809,510245,368,2018-09-01,41.589531,44,16.994999,29.994999
201810,510245,369,2018-10-01,42.741394,46,16,30
201811,510245,370,2018-11-01,44.140766,48,18,30
201812,510245,371,2018-12-01,44.058044,46,18,30
201901,510245,372,2019-01-01,37.819912,45,16,25
201902,510245,373,2019-02-01,43.26902,39.990002,16,25
201903,510245,374,2019-03-01,45.901787,49.5,16,29
201904,510245,375,2019-04-01,45.496147,44,16,29.5
201905,510245,376,2019-05-01,46.433636,41.25,18,29
201906,510245,377,2019-06-01,44.434635,49.5,18,27.299999
201907,510245,378,2019-07-01,40.11385,46,18,25
201908,510245,379,2019-08-01,41.099373,39.5,18,27.99
201909,510245,380,2019-09-01,46.713169,46,18,29
201910,510245,381,2019-10-01,46.4935,48,17.994999,28
201911,510245,382,2019-11-01,46.109207,41,18,28.5
201912,510245,383,2019-12-01,45.085316,40,18,25
202001,510245,384,2020-01-01,40.221703,45,18,25
202002,510245,385,2020-02-01,43.16494,45,16,26
202003,510245,386,2020-03-01,47.41975,38.400002,18,25
202004,510245,387,2020-04-01,30.806667,35,18,24.99
202005,510245,388,2020-05-01,30.228119,35,17.99,24.99
202006,510245,389,2020-06-01,32.751926,35.099998,17.5,22
202007,510245,390,2020-07-01,35.018826,33.599998,16,22
202008,510245,391,2020-08-01,40.090378,35,17.5,23.200001
202009,510245,392,2020-09-01,40.637295,35,18,25
202010,510245,393,2020-10-01,45.152779,39,18,25
202011,510245,394,2020-11-01,41.085072,29.994999,18,25
202012,510245,395,2020-12-01,37.955231,28,16,20
202101,510245,396,2021-01-01,36.281471,32,16,22
202102,510245,397,2021-02-01,36.8699,28.4,15,18
202103,510245,398,2021-03-01,37.58868,32,14,19.99
202104,510245,399,2021-04-01,38.073353,37,15.2,20
202105,510245,400,2021-05-01,42.923466,39,16,20
202106,510245,401,2021-06-01,44.067337,40,15,19.99
202107,510245,402,2021-07-01,40.465626,39.5,15,19.99
202108,510245,403,2021-08-01,40.086342,38.5,15.5,19.99
202109,510245,404,2021-09-01,43.150604,38,15,23.99
202110,510245,405,2021-10-01,43.922066,38,15,23.99
202111,510245,406,2021-11-01,45.001301,39.990002,16,24.99
202112,510245,407,2021-12-01,42.393635,40,16,23.99
202201,510245,408,2022-01-01,39.270061,39.5,15,20
202202,510245,409,2022-02-01,41.51997,40,15,24.99
202203,510245,410,2022-03-01,43.237831,40,15,24.99
202204,510245,411,2022-04-01,44.078094,45,15,24.99
202205,510245,412,2022-05-01,44.411449,40,16,24.99
202206,510245,413,2022-06-01,42.268234,40,16,24.99
202207,510245,414,2022-07-01,38.714542,40,15,24
202208,510245,415,2022-08-01,42.434425,39.990002,16,24.99
202209,510245,416,2022-09-01,44.463844,45,17,25
202210,510245,417,2022-10-01,46.095543,45,17,25
202211,510245,418,2022-11-01,44.376495,44,16,25
