quote_date,item_id,date,dateISO,priceMean,price75Q,price25Q,priceMedian
201201,510249,288,2012-01-01,64.33419,80,36,45
201202,510249,289,2012-02-01,66.235939,90,39.5,49
201203,510249,290,2012-03-01,70.982964,95,40,59
201204,510249,291,2012-04-01,71.379318,99,40,51
201205,510249,292,2012-05-01,69.909676,95,40,50.5
201206,510249,293,2012-06-01,62.091442,80,39,45
201207,510249,294,2012-07-01,62.666496,85,32.990002,48
201208,510249,295,2012-08-01,62.557713,85,38,48
201209,510249,296,2012-09-01,65.942986,90,30,48
201210,510249,297,2012-10-01,70.363869,95,39,52.5
201211,510249,298,2012-11-01,68.836243,95,35,50
201212,510249,299,2012-12-01,63.935841,85,39,45
201301,510249,300,2013-01-01,62.548714,80,40,46
201302,510249,301,2013-02-01,67.309784,97,32,46
201303,510249,302,2013-03-01,71.215981,99.989998,40,52
201304,510249,303,2013-04-01,69.145882,99,32,55
201305,510249,304,2013-05-01,70.913521,99,38,55
201306,510249,305,2013-06-01,67.034065,89.949997,40,48
201307,510249,306,2013-07-01,67.007629,89,40,48.5
201308,510249,307,2013-08-01,69.157021,99,40,48.974998
201309,510249,308,2013-09-01,69.479027,95,32,49.950001
201310,510249,309,2013-10-01,72.726143,99,40,52.5
201311,510249,310,2013-11-01,71.800949,97.5,38.200001,45
201312,510249,311,2013-12-01,70.785454,99,35,45
201401,510249,312,2014-01-01,66.740814,90,39.990002,45
201402,510249,313,2014-02-01,71.542747,99.989998,39.990002,49.950001
201403,510249,314,2014-03-01,73.486717,100,40,50
201404,510249,315,2014-04-01,73.209305,100,40,50
201405,510249,316,2014-05-01,71.385002,99.494995,39,50
201406,510249,317,2014-06-01,70.614899,95,40,50
201407,510249,318,2014-07-01,63.418644,89.949997,39.950001,45
201408,510249,319,2014-08-01,66.480507,95,35,48.724998
201409,510249,320,2014-09-01,67.564926,95,32,45
201410,510249,321,2014-10-01,70.761536,100,40,50
201411,510249,322,2014-11-01,74.506584,100,40,55
201412,510249,323,2014-12-01,71.79232,90,40,50
201501,510249,324,2015-01-01,65.536026,82.5,40,50
201502,510249,325,2015-02-01,71.030205,90,40,59.990002
201503,510249,326,2015-03-01,73.501968,95,40,59.990002
201504,510249,327,2015-04-01,72.561653,95,40,64
201505,510249,328,2015-05-01,73.190285,95,40,64.949997
201506,510249,329,2015-06-01,72.814392,95,40,64.974998
201507,510249,330,2015-07-01,67.013771,92.5,36,48.25
201508,510249,331,2015-08-01,69.073761,95,40,46.5
201509,510249,332,2015-09-01,72.449951,99,40,50
201510,510249,333,2015-10-01,68.78746,95,36,45
201511,510249,334,2015-11-01,72.732292,100,40,57
201512,510249,335,2015-12-01,71.703026,95,40,52
201601,510249,336,2016-01-01,66.027763,90,36,49.495003
201602,510249,337,2016-02-01,72.793144,90,45,55
201603,510249,338,2016-03-01,81.742142,99,45,79
201604,510249,339,2016-04-01,79.374565,99,45,79
201605,510249,340,2016-05-01,77.970001,95,45,79
201606,510249,341,2016-06-01,79.777588,97.300003,45,79
201607,510249,342,2016-07-01,73.761902,90,44.990002,70
201608,510249,343,2016-08-01,80.282326,99,45,85
201609,510249,344,2016-09-01,79.684998,99,45,85
201610,510249,345,2016-10-01,80.609367,99,45,85
201611,510249,346,2016-11-01,80.217941,99,45,85
201612,510249,347,2016-12-01,76.767235,92.5,38,85
201701,510249,348,2017-01-01,74.803123,90,43,69
201702,510249,349,2017-02-01,78.070068,94.5,42,77.5
201703,510249,350,2017-03-01,81.747086,99,45,85
201704,510249,351,2017-04-01,82.525284,99,45,85
201705,510249,352,2017-05-01,82.100693,99,45,85
201706,510249,353,2017-06-01,80.942429,99,45,85
201707,510249,354,2017-07-01,78.336983,90,44.990002,75
201708,510249,355,2017-08-01,78.546509,95,40,75
201709,510249,356,2017-09-01,77.848862,95,45,80
201710,510249,357,2017-10-01,80.279312,99,45,85
201711,510249,358,2017-11-01,81.461716,99,40,85
201712,510249,359,2017-12-01,79.986618,99,45,80
201801,510249,360,2018-01-01,79.05883,99,46,80
201802,510249,361,2018-02-01,80.066391,90,45,82.5
201803,510249,362,2018-03-01,81.52507,90,40,80
201804,510249,363,2018-04-01,83.667641,90,42.5,80
201805,510249,364,2018-05-01,83.043335,90,40,80
201806,510249,365,2018-06-01,78.173004,90,40,79.949997
201807,510249,366,2018-07-01,73.607521,90,37,69
201808,510249,367,2018-08-01,76.635071,90,40,79.5
201809,510249,368,2018-09-01,79.017891,90,45,80
201810,510249,369,2018-10-01,78.556549,90,40,85
201811,510249,370,2018-11-01,78.405487,90,45,69
201812,510249,371,2018-12-01,75.565598,90,40,60
201901,510249,372,2019-01-01,71.604614,90,39.990002,59.950001
201902,510249,373,2019-02-01,72.151871,90,35,59.950001
201903,510249,374,2019-03-01,76.280777,90,40,59.950001
201904,510249,375,2019-04-01,76.217621,90,40,59.950001
201905,510249,376,2019-05-01,77.104179,90,40,59.950001
201906,510249,377,2019-06-01,78.764175,90,40,69
201907,510249,378,2019-07-01,74.760506,90,40,59.950001
201908,510249,379,2019-08-01,77.484192,90,40,69.5
201909,510249,380,2019-09-01,77.511253,90,45,70
201910,510249,381,2019-10-01,79.950439,90,45,70
201911,510249,382,2019-11-01,81.295364,92.5,45,70
201912,510249,383,2019-12-01,79.379852,90,45,74.989998
202001,510249,384,2020-01-01,79.010384,90,45,70
202002,510249,385,2020-02-01,84.033852,90,45,75
202003,510249,386,2020-03-01,83.879303,95,45,79
202004,510249,387,2020-04-01,49.231998,59.950001,31.5,41.25
202005,510249,388,2020-05-01,53.832439,59.950001,31.5,54
202006,510249,389,2020-06-01,61.754349,68,31.5,47.974998
202007,510249,390,2020-07-01,66.955002,73.5,31.5,47.950001
202008,510249,391,2020-08-01,69.94593,85,40,56
202009,510249,392,2020-09-01,78.402634,90,40,69
202010,510249,393,2020-10-01,83.928703,92.5,45,65.599998
202011,510249,394,2020-11-01,78.557503,82,31.5,68
202012,510249,395,2020-12-01,77.244904,90,51.5,64
202101,510249,396,2021-01-01,75.245354,89,28,59.950001
202102,510249,397,2021-02-01,75.299446,85,42,60
202103,510249,398,2021-03-01,75.128365,89,42,60
202104,510249,399,2021-04-01,77.596451,89,48,65
202105,510249,400,2021-05-01,96.191376,99,56.5,79
202106,510249,401,2021-06-01,93.790764,99,59.970001,79
202107,510249,402,2021-07-01,91.559044,95,59.990002,79
202108,510249,403,2021-08-01,88.149185,95,55,79
202109,510249,404,2021-09-01,90.470497,95,55,79
202110,510249,405,2021-10-01,94.215302,97,59.995003,79
202111,510249,406,2021-11-01,94.308891,99,59.990002,79.949997
202112,510249,407,2021-12-01,94.586365,99,60,79.989998
202201,510249,408,2022-01-01,88.138687,99,55,79
202202,510249,409,2022-02-01,90.564896,99,55,79
202203,510249,410,2022-03-01,93.253036,100,60,79.989998
202204,510249,411,2022-04-01,92.835732,95,59.5,79
202205,510249,412,2022-05-01,91.157982,97,56.5,79.494995
202206,510249,413,2022-06-01,90.026382,95,58,79
202207,510249,414,2022-07-01,93.149712,100,68,89.949997
202208,510249,415,2022-08-01,90.127281,100,58,69.989998
202209,510249,416,2022-09-01,101.81699,120,69.949997,95
202210,510249,417,2022-10-01,100.21114,100,75,95
202211,510249,418,2022-11-01,94.861168,105,60,95
