quote_date,item_id,date,dateISO,priceMean,price75Q,price25Q,priceMedian
201501,510530,324,2015-01-01,35.29702,54.990002,10,28
201502,510530,325,2015-02-01,36.96946,59.495003,12,28
201503,510530,326,2015-03-01,37.652351,59.990002,12,28
201504,510530,327,2015-04-01,38.905701,60,12,29.744999
201505,510530,328,2015-05-01,37.549889,60,12,28
201506,510530,329,2015-06-01,37.566631,60,12,28
201507,510530,330,2015-07-01,36.92712,59,10,28
201508,510530,331,2015-08-01,36.093575,58.5,10,29
201509,510530,332,2015-09-01,37.800175,60,12,29.5
201510,510530,333,2015-10-01,37.257977,60,10,29.5
201511,510530,334,2015-11-01,36.906113,56.25,10,29.99
201512,510530,335,2015-12-01,36.590778,55,12,29.5
201601,510530,336,2016-01-01,35.197456,58,10,24.494999
201602,510530,337,2016-02-01,33.714592,55,10,22
201603,510530,338,2016-03-01,34.779633,55,10,25
201604,510530,339,2016-04-01,36.456741,56,11.99,29
201605,510530,340,2016-05-01,36.82917,58,10,24.99
201606,510530,341,2016-06-01,36.653175,57,10,28
201607,510530,342,2016-07-01,34.620621,55,10,27.25
201608,510530,343,2016-08-01,35.250061,56,9.9899998,29
201609,510530,344,2016-09-01,36.262035,60,10,29
201610,510530,345,2016-10-01,38.379795,60,10,25
201611,510530,346,2016-11-01,38.347271,60,10,22.99
201612,510530,347,2016-12-01,36.715511,59.990002,9.9899998,22
201701,510530,348,2017-01-01,33.625618,50,9.9899998,21
201702,510530,349,2017-02-01,36.753605,60,10,29.744999
201703,510530,350,2017-03-01,37.025772,60,10,25
201704,510530,351,2017-04-01,36.712704,59.474998,10,23.99
201705,510530,352,2017-05-01,37.28997,57.995003,10,23.99
201706,510530,353,2017-06-01,38.496441,59.990002,10,25
201707,510530,354,2017-07-01,36.700085,59.990002,10,22
201708,510530,355,2017-08-01,37.864277,60,10,22
201709,510530,356,2017-09-01,36.845753,59.990002,10,22
201710,510530,357,2017-10-01,37.307941,60,10,22
201711,510530,358,2017-11-01,37.914829,59.990002,10,22.99
201712,510530,359,2017-12-01,38.421326,60,10,22.695
201801,510530,360,2018-01-01,34.752838,55,9.9899998,20.950001
201802,510530,361,2018-02-01,37.014183,59,9.9899998,22
201803,510530,362,2018-03-01,38.528496,59,9.9899998,22
201804,510530,363,2018-04-01,37.827248,55,9.9899998,22
201805,510530,364,2018-05-01,39.822811,56,10,22.99
201806,510530,365,2018-06-01,41.214142,56,10,25
201807,510530,366,2018-07-01,38.798351,56,10,22.99
201808,510530,367,2018-08-01,38.132397,54.990002,9.9899998,22
201809,510530,368,2018-09-01,39.084511,59,10,22.99
201810,510530,369,2018-10-01,38.796158,59,10,22
201811,510530,370,2018-11-01,39.812031,59,10,22
201812,510530,371,2018-12-01,42.05978,60,10,24.5
201901,510530,372,2019-01-01,39.449841,59,9.9899998,22
201902,510530,373,2019-02-01,39.635765,59.995003,9.9899998,25
201903,510530,374,2019-03-01,40.55991,60,9.9899998,24.1
201904,510530,375,2019-04-01,39.593014,59.474998,9.9899998,22.99
201905,510530,376,2019-05-01,40.929821,59.950001,9.9899998,25
201906,510530,377,2019-06-01,39.488865,59,9.9899998,25
201907,510530,378,2019-07-01,39.384872,59.474998,9.9899998,29
201908,510530,379,2019-08-01,38.865501,59,9.9899998,27.99
201909,510530,380,2019-09-01,39.650776,60,9.9899998,24.494999
201910,510530,381,2019-10-01,39.572697,59.990002,9.9899998,23.200001
201911,510530,382,2019-11-01,39.423119,62.494999,9.9899998,23.095001
201912,510530,383,2019-12-01,40.753986,65,9.9899998,25.6
202001,510530,384,2020-01-01,38.835171,59.990002,9.9899998,24
202002,510530,385,2020-02-01,40.807865,60,9.9899998,24
202003,510530,386,2020-03-01,39.753021,59.990002,9.9899998,22
202004,510530,387,2020-04-01,32.404629,49,9.9899998,21.15
202005,510530,388,2020-05-01,33.911865,52.495003,9.9899998,22
202006,510530,389,2020-06-01,36.300034,55,9.9899998,22
202007,510530,390,2020-07-01,37.314075,55,9.9899998,22
202008,510530,391,2020-08-01,38.376812,59,9.9899998,22
202009,510530,392,2020-09-01,40.009426,60,9.9899998,24.494999
202010,510530,393,2020-10-01,39.111782,60,9.9899998,22.494999
202011,510530,394,2020-11-01,38.968616,59.495003,9.9899998,22
202012,510530,395,2020-12-01,39.112301,59.495003,9.9899998,22
202101,510530,396,2021-01-01,36.725643,46.495003,9.9899998,22
202102,510530,397,2021-02-01,36.706806,49.5,9.9899998,22
202103,510530,398,2021-03-01,38.603062,55,9.9899998,22
202104,510530,399,2021-04-01,40.4408,65,9.9899998,23.49
202105,510530,400,2021-05-01,40.525894,67,8,22.99
202106,510530,401,2021-06-01,40.345951,65,8,19.994999
202107,510530,402,2021-07-01,40.25087,65,8,27.994999
202108,510530,403,2021-08-01,40.300098,62,8,28.5
202109,510530,404,2021-09-01,41.826611,60,9.9899998,24.994999
