quote_date,item_id,date,dateISO,priceMean,price75Q,price25Q,priceMedian
201501,510238,324,2015-01-01,27.458328,30,12,15
201502,510238,325,2015-02-01,30.767231,36,12.99,17.99
201503,510238,326,2015-03-01,31.653481,38,11,16
201504,510238,327,2015-04-01,31.719538,35,12,19.5
201505,510238,328,2015-05-01,33.046944,40,12,19.5
201506,510238,329,2015-06-01,31.697441,37.5,12,19.5
201507,510238,330,2015-07-01,28.89609,30,10,16
201508,510238,331,2015-08-01,29.380535,29.5,10,16
201509,510238,332,2015-09-01,32.336777,35.5,10,18
201510,510238,333,2015-10-01,35.10717,38.5,14,20
201511,510238,334,2015-11-01,34.475082,37,12,18.75
201512,510238,335,2015-12-01,31.489973,35,12,18
201601,510238,336,2016-01-01,27.740643,28,12,16
201602,510238,337,2016-02-01,29.183285,34,12,19.5
201603,510238,338,2016-03-01,31.112013,39.990002,12,19.5
201604,510238,339,2016-04-01,29.983231,34.474998,10,17.744999
201605,510238,340,2016-05-01,28.773457,34.950001,10,18
201606,510238,341,2016-06-01,28.545959,34,11.25,18
201607,510238,342,2016-07-01,26.410896,29.5,10,17.5
201608,510238,343,2016-08-01,27.652617,29.75,9.9949999,18
201609,510238,344,2016-09-01,30.221548,38.5,10,18
201610,510238,345,2016-10-01,29.66646,37.5,10,18
201611,510238,346,2016-11-01,30.32793,35,12,19.5
201612,510238,347,2016-12-01,28.880617,35,12,18
201701,510238,348,2017-01-01,28.185156,29.5,12,17.5
201702,510238,349,2017-02-01,30.608728,35,12,18
201703,510238,350,2017-03-01,30.322521,36,10,18
201704,510238,351,2017-04-01,30.45175,39,10,18
201705,510238,352,2017-05-01,34.419136,39.724998,12,19.5
201706,510238,353,2017-06-01,30.872993,38,12,19.5
201707,510238,354,2017-07-01,30.968908,39,10,19
201708,510238,355,2017-08-01,31.626553,35,12,18
201709,510238,356,2017-09-01,33.564209,37,12.99,19.5
201710,510238,357,2017-10-01,33.630348,37,12.5,19.99
201711,510238,358,2017-11-01,33.690639,39.950001,12.5,19.5
201712,510238,359,2017-12-01,31.671917,35.990002,12,19.99
201801,510238,360,2018-01-01,28.731905,35.990002,12,19.5
201802,510238,361,2018-02-01,30.189827,35,12,19.5
201803,510238,362,2018-03-01,31.147839,34,12.5,19.5
201804,510238,363,2018-04-01,31.460373,36,12.5,19.5
201805,510238,364,2018-05-01,31.671619,38.5,12.5,20
201806,510238,365,2018-06-01,30.105543,32,10,19.5
201807,510238,366,2018-07-01,29.331945,32,10,19.5
201808,510238,367,2018-08-01,31.328571,35,10,19.99
201809,510238,368,2018-09-01,33.961113,37,10,22
201810,510238,369,2018-10-01,33.229553,35,12,20
201811,510238,370,2018-11-01,32.494469,35.990002,12,22
201812,510238,371,2018-12-01,33.861519,38.5,12,24.99
201901,510238,372,2019-01-01,31.456114,35,12,22
201902,510238,373,2019-02-01,34.592751,36,10,20
201903,510238,374,2019-03-01,34.573788,32,10,22
201904,510238,375,2019-04-01,36.528473,39,12,24.99
201905,510238,376,2019-05-01,35.04314,36,10,22
201906,510238,377,2019-06-01,35.007282,39.5,10,22
201907,510238,378,2019-07-01,32.127235,34,10,19.5
201908,510238,379,2019-08-01,33.538601,32,10,20
201909,510238,380,2019-09-01,34.346298,32,12.25,20
201910,510238,381,2019-10-01,34.242531,32,12,19.5
201911,510238,382,2019-11-01,34.955402,32,12,19.5
201912,510238,383,2019-12-01,32.170971,32,12,18
202001,510238,384,2020-01-01,28.897711,29,10,18
202002,510238,385,2020-02-01,33.737343,29,10,19.5
202003,510238,386,2020-03-01,34.89851,29,12,19.5
202004,510238,387,2020-04-01,23.563086,26.99,10,15.4
202005,510238,388,2020-05-01,24.016741,28,10,19.5
202006,510238,389,2020-06-01,25.505537,26.99,10,19.5
202007,510238,390,2020-07-01,26.420067,26,10,17.99
202008,510238,391,2020-08-01,29.771406,29.99,10,18
202009,510238,392,2020-09-01,35.191414,32,10,18
202010,510238,393,2020-10-01,33.437992,30.994999,10,19.5
202011,510238,394,2020-11-01,31.617168,29.99,12,17.99
202012,510238,395,2020-12-01,31.222492,29.99,12,17.99
202101,510238,396,2021-01-01,28.807739,30,10,15
202102,510238,397,2021-02-01,27.979092,29.99,10,15
202103,510238,398,2021-03-01,29.29063,29.99,10,15.99
202104,510238,399,2021-04-01,28.969252,29.99,10,17.99
202105,510238,400,2021-05-01,31.101564,32,10,16
202106,510238,401,2021-06-01,32.494461,35.5,10,18
202107,510238,402,2021-07-01,29.476,34,10,16
202108,510238,403,2021-08-01,28.46409,34.5,10,16
202109,510238,404,2021-09-01,36.083214,36,10,16
202110,510238,405,2021-10-01,35.636402,35,10,17.99
202111,510238,406,2021-11-01,36.668797,34.995003,10,17.99
202112,510238,407,2021-12-01,35.12891,29.99,10,16
202201,510238,408,2022-01-01,32.960281,29.99,10,15
202202,510238,409,2022-02-01,33.551739,30,10,15.99
202203,510238,410,2022-03-01,35.35928,35,10,18
202204,510238,411,2022-04-01,35.913445,34.990002,10,18
202205,510238,412,2022-05-01,36.922649,35,10,18
202206,510238,413,2022-06-01,36.635151,37,10,18
202207,510238,414,2022-07-01,32.469154,35,10,19
202208,510238,415,2022-08-01,34.813053,32.495003,10,19.5
202209,510238,416,2022-09-01,35.572269,32,11,19.5
202210,510238,417,2022-10-01,34.581509,29.99,11,19.5
202211,510238,418,2022-11-01,36.040718,30,11,19.99
